time,target_x_deg,target_y_deg,gimbal_pitch_rad,orientation_w,orientation_x,orientation_y,orientation_z,position_x,position_y,position_z,angular_x,angular_y,angular_z,vel_x,vel_y,vel_z
1769096173.508295,,,,0.213264078,-0.070826367,-0.063076407,0.97238034,274.1494751,164.6253357,121.9006119,-0.015214257,0.086880744,0.022695636,0.158595607,-0.174845785,0.210401684
1769096173.509847,3.307965994,19.07455444,,,,,,,,,,,,,,
1769096173.512754,,,-0.132623762,,,,,,,,,,,,,
1769096173.522050,,,,0.212962985,-0.071778752,-0.063266791,0.972364068,274.152832,164.6215668,121.9051285,0.021042064,0.038188439,0.006460931,0.142659411,-0.167057335,0.209125787
1769096173.528372,,,,,,,,,,,,,,,,
1769096173.528413,3.307965994,19.07455444,,,,,,,,,,,,,,
1769096173.530717,,,-0.129331425,,,,,,,,,,,,,
1769096173.541061,,,,0.212612659,-0.071844332,-0.063185126,0.972441256,274.1557617,164.6180725,121.9096069,0.024853379,-0.016601397,0.050292306,0.129506573,-0.162031472,0.201641992
1769096173.545603,,,-0.126037434,,,,,,,,,,,,,
1769096173.547897,,,,,,,,,,,,,,,,
1769096173.547983,3.364834309,18.90236855,,,,,,,,,,,,,,
1769096173.551893,,,,,,,,,,,,,,,,
1769096173.554841,,,,0.212301433,-0.071775027,-0.063146368,0.972516835,274.1581421,164.6148834,121.9154282,0.049596526,-0.003585646,0.017248498,0.130167499,-0.189319894,0.173259005
1769096173.565113,,,-0.122743428,,,,,,,,,,,,,
1769096173.568133,,,,,,,,,,,,,,,,
1769096173.568356,3.436696291,18.74484062,,,,,,,,,,,,,,
1769096173.572449,,,,0.211887956,-0.071741596,-0.062901199,0.972625375,274.1669617,164.6124268,121.9418488,0.110198274,0.011096559,0.087192453,0.144961178,-0.190146059,0.208916485
1769096173.574989,,,,,,,,,,,,,,,,
1769096173.582578,,,-0.117799103,,,,,,,,,,,,,
1769096173.588823,,,,0.211358041,-0.071378022,-0.062125586,0.972817242,274.1669617,164.6124268,121.9418488,0.108451098,-0.043786827,0.035068791,0.144961178,-0.190146059,0.208916485
1769096173.588971,,,,,,,,,,,,,,,,
1769096173.589090,3.467683554,18.8316803,,,,,,,,,,,,,,
1769096173.599154,,,,,,,,,,,,,,,,
1769096173.600924,,,-0.114500947,,,,,,,,,,,,,
1769096173.607865,3.467683554,18.8316803,,,,,,,,,,,,,,
1769096173.609552,,,,,,,,,,,,,,,,
1769096173.610614,,,,0.211083069,-0.070800632,-0.061377238,0.972966731,274.170166,164.6082001,121.9458694,0.134183004,-0.093365774,-0.004473489,0.151000381,-0.19796747,0.16464518
1769096173.616015,,,-0.111201957,,,,,,,,,,,,,
1769096173.621635,,,,0.210808203,-0.0700901,-0.060494289,0.973133028,274.1729736,164.6044464,121.9486847,0.134749532,-0.071088724,0.045350928,0.146721363,-0.207275957,0.138137013
1769096173.627901,,,,,,,,,,,,,,,,
1769096173.628799,3.481433392,18.75983048,,,,,,,,,,,,,,
1769096173.629426,,,-0.106251806,,,,,,,,,,,,,
1769096173.636911,,,,,,,,,,,,,,,,
1769096173.638112,,,,0.210168719,-0.069066234,-0.059673704,0.973395109,274.1760864,164.5998688,121.9516602,0.181146249,-0.091062397,0.092347875,0.140751854,-0.217977092,0.108941466
1769096173.647963,,,,,,,,,,,,,,,,
1769096173.648346,3.408740759,18.85971069,,,,,,,,,,,,,,
1769096173.651658,,,-0.101298325,,,,,,,,,,,,,
1769096173.663511,,,,,,,,,,,,,,,,
1769096173.667620,,,,0.209358051,-0.068156332,-0.058764033,0.973689258,274.1792603,164.5948792,121.9534836,0.134910107,-0.061265066,0.06788706,0.151931718,-0.242378861,0.059833363
1769096173.668402,,,,,,,,,,,,,,,,
1769096173.668532,3.288715124,18.77174187,,,,,,,,,,,,,,
1769096173.671946,,,-0.096342348,,,,,,,,,,,,,
1769096173.675151,,,,0.208674401,-0.067413576,-0.057843357,0.973942876,274.1792603,164.5948792,121.9534836,0.134674788,-0.085040107,0.093621768,0.151931718,-0.242378861,0.059833363
1769096173.680048,,,-0.091383874,,,,,,,,,,,,,
1769096173.687332,,,,0.207854167,-0.067400835,-0.05791964,0.974114537,274.1821289,164.590271,121.9542313,0.108013466,-0.035799563,0.073368609,0.162511021,-0.262432128,0.01655449
1769096173.688259,3.288715124,18.77174187,,,,,,,,,,,,,,
1769096173.696271,,,-0.086422905,,,,,,,,,,,,,
1769096173.702156,,,,,,,,,,,,,,,,
