quaternion_is_body_to_world,camera_positive_azimuth_right,camera_positive_elevation_up,gimbal_positive_pitch_raises,pair_miss_median_m,pair_miss_p90_m,bundle_positive_ratio,bundle_count,combined_rate_std_deg_s,heading_error_median_deg
False,True,False,False,0.041134827963281745,0.10795971811925142,1.0,115,29.453054811159895,4.131528241170308
False,False,False,False,0.04454778374707738,0.12508159305558983,1.0,104,30.822906542924883,4.131528241170308
False,False,False,True,0.06703535354899531,0.20442096162046244,1.0,93,56.05123189591642,4.131528241170308
False,True,True,False,0.0784900281149977,0.2001100204573635,1.0,92,27.646439671100737,4.131528241170308
False,False,True,False,0.08109915090856366,0.19859201253152553,1.0,90,26.536697472789903,4.131528241170308
False,True,False,True,0.08405700989272177,0.21131875732539182,1.0,90,66.38636597339546,4.131528241170308
False,False,True,True,0.09627625687991219,0.25409012780304285,1.0,85,73.75411901821947,4.131528241170308
False,True,True,True,0.12047315216546108,0.29568195824722276,1.0,95,85.89219473556574,4.131528241170308
True,False,False,False,0.29680290283819233,0.5599718586395341,1.0,102,35.18814471541654,48.16080662790949
True,False,True,False,0.3166876652702232,0.6186634966228093,1.0,100,29.47630977168975,48.16080662790949
True,True,False,False,0.34296472539068823,0.5933633281808708,1.0,106,26.55482643906287,48.16080662790949
True,True,True,False,0.35004435145795454,0.6516812447881464,1.0,86,22.597284952828858,48.16080662790949
True,False,False,True,0.3842137321973149,0.6781064775167719,1.0,88,57.96068789000534,48.16080662790949
True,False,True,True,0.3974494311699802,0.6854598894027151,1.0,90,73.1736330231833,48.16080662790949
True,True,False,True,0.4276393109367358,0.6659701030552061,1.0,87,60.711716991181774,48.16080662790949
True,True,True,True,0.43218864486472397,0.6879032024719355,1.0,88,78.44237970157207,48.16080662790949
