target_mode,guidance_mode,intercepted,intercept_time_s,minimum_distance_m,max_speed_mps,max_abs_accel_x_mps2,max_abs_accel_y_mps2
straight,predictive,True,129.5,1.9725125472252163,20.0,2.5,1.0
straight,pure,True,131.25,1.8037239100518192,19.999999980923704,2.5,1.0
straight,pn,True,129.55,1.640169026078118,20.0,2.5,1.0
weave,predictive,True,131.70000000000002,1.8912840639344193,20.000000000000004,2.5,1.0
weave,pure,True,135.45000000000002,1.864290607573479,20.0,2.5,1.0
weave,pn,True,148.1,1.5660580822882184,20.000000000000004,2.5,1.0
bounded_turn,predictive,True,145.4,1.6061727922644515,20.000000000000004,2.5,1.0
bounded_turn,pure,True,136.05,1.8152843623807053,20.0,2.5,1.0
bounded_turn,pn,True,145.25,1.7736696644530094,20.0,2.5,1.0
reactive,predictive,True,165.10000000000002,1.6982312094769856,20.0,2.5,1.0
reactive,pure,False,,3.5773909445169503,20.0,2.5,1.0
reactive,pn,False,,6.558630590581968,20.0,2.5,1.0
